full_address,performance,exhibition_visual_arts,screen_based,library,multipurpose,heritage,ownership
"4279 Lawrence Avenue East, Toronto, ON, M1E 2S8",NA,NA,NA,1,1,NA,Owned by others
"5400 Lawrence Avenue East, Toronto, ON, M1C 2C6",1,NA,NA,NA,1,NA,Owned by others
"5450 Lawrence Avenue East, Toronto, ON, M1C 3B2",1,NA,NA,1,1,NA,City Owned
"56 Lawson Road, Toronto, ON, M1C 2J2",1,NA,NA,NA,1,NA,Owned by others
"292 Manse Road, Toronto, ON, M1E 3V4",NA,NA,NA,NA,1,NA,City Owned
"1265 Military Trail, Toronto, ON, M1C 1A3",1,1,NA,NA,1,NA,Owned by others
"755 Morningside Avenue, Toronto, ON, M1C 5J9",1,NA,NA,NA,NA,NA,Owned by others
"200 Morrish Road, Toronto, ON, M1C 1E8",1,NA,NA,NA,1,NA,Owned by others
"362 Old Kingston Road, Toronto, ON, M1C 3B6",NA,1,NA,NA,NA,NA,Owned by others
"62 Orchard Park Drive, Toronto, ON, M1E 3T7",1,NA,NA,NA,1,NA,Owned by others
"447 Port Union Road, Toronto, ON, M1C 2L6",1,NA,NA,NA,1,NA,Owned by others
"270 Rouge Hills Drive, Toronto, ON, M1C 2Z1",NA,NA,NA,NA,1,NA,City Owned
"64 Rylander Boulevard, Toronto, ON, M1B 4X3",NA,NA,NA,NA,1,NA,City Owned
